NetID,OfficeName,ATitle
DXG541427,Facilties and Economic Development,staff
RXP837231,Office of Development and Alumni Relations,Cabinet
BXL538679,Office of Information Technology,Senior Staff
EXG579303,Office of the Provost,Cabinet
SXF759906,Office of the President,Manager
BXM469835,Office of Communications,Senior Staff
EXM329668,Student Affairs,Executive
EXO961224,"Institutional Compliance, Equity, and Title IX Initiatives",Manager
BXJ530912,Information Security,Cabinet
WXA390622,Office of Institutional Success and Decision Support,Cabinet
CXC701631,Office of the Provost,staff
JXS888509,Office of Budget and Finance,Executive
KXE743097,Government and Community Relations,Manager
BXM724813,Facilties and Economic Development,Executive
AXC274591,"Institutional Compliance, Equity, and Title IX Initiatives",Senior Staff
VXZ975022,Information Security,Executive
LXS457332,Office of Development and Alumni Relations,Manager
LXT773444,Information Security,Cabinet
HXO707420,Office of Research and Innovation,Senior Staff
CXM373605,Office of Research and Innovation,Executive
DXT914151,Office of Legal Affairs,Cabinet
VXC264580,Office of Legal Affairs,Manager
FXH993948,Office of Research and Innovation,Cabinet
DXT604414,Information Security,Manager
PXG539700,Office of Research and Innovation,Senior Staff
RXW321506,Office of Research and Innovation,Cabinet
AXM873807,Office of Audit and Consulting,Executive
MXK138296,Office of the Provost,Senior Staff
BXB433738,Office of Institutional Success and Decision Support,Senior Staff
HXT417270,Facilties and Economic Development,Cabinet
CXP644398,Office of Communications,Cabinet
GXC405989,Office of Legal Affairs,staff
RXK839065,Office of Research and Innovation,Executive
CXM293635,"Institutional Compliance, Equity, and Title IX Initiatives",Manager
PXL252499,Student Affairs,Cabinet
EXB918643,Student Affairs,Cabinet
CXB130089,Office of the Provost,Executive
JXM695106,Office of Budget and Finance,Cabinet
MXW971935,Information Security,staff
GXW325754,Office of Development and Alumni Relations,Executive
EXK443263,Government and Community Relations,Senior Staff
KXM944811,Information Security,Senior Staff
DXS355857,Student Affairs,Cabinet
TXR668448,Information Security,staff
JXG763335,Student Affairs,Cabinet
CXH559732,Office of Institutional Success and Decision Support,Cabinet
BXH328640,"Office of Diversity, Equity, and Inclusion",Senior Staff
AXS220954,Office of Budget and Finance,Executive
SXN905664,Office of Institutional Success and Decision Support,Executive
MXK916072,"Institutional Compliance, Equity, and Title IX Initiatives",Senior Staff
AXM318967,Student Affairs,Manager
SXT592277,Office of Human Resources,Senior Staff
AXC176346,Office of the President,Manager
MXH566669,Office of the Provost,staff
KXS492733,Office of Development and Alumni Relations,staff
EXP159375,Office of Communications,Cabinet
BXT734404,"Institutional Compliance, Equity, and Title IX Initiatives",Cabinet
LXL524391,Government and Community Relations,Senior Staff
TXY578217,"Institutional Compliance, Equity, and Title IX Initiatives",staff
VXG516622,Information Security,Cabinet
SXD974420,Office of Communications,Manager
LXM337336,Office of Legal Affairs,Manager
HXR461592,Student Affairs,Senior Staff
EXJ333444,Office of the President,Cabinet
GXM781210,Student Affairs,Executive
CXB188674,Office of Audit and Consulting,Executive
GXB310007,"Institutional Compliance, Equity, and Title IX Initiatives",Manager
VXF339952,Office of Legal Affairs,Manager
SXR800329,Office of Human Resources,Senior Staff
OXM233117,Office of Institutional Success and Decision Support,Cabinet
DXA381952,Office of Information Technology,Manager
MXK614969,Office of the Provost,Executive
GXC139070,Government and Community Relations,Manager
AXA348457,Office of Development and Alumni Relations,staff
TXS234712,Office of Human Resources,Executive
CXL731234,Office of Communications,staff
FXW153712,"Institutional Compliance, Equity, and Title IX Initiatives",Executive
DXF621354,Office of Information Technology,Executive
RXH542134,Office of the President,staff
UXM556207,Office of Budget and Finance,Manager
DXB628986,Office of Legal Affairs,Cabinet
CXF418440,Office of the Provost,Cabinet
WXS492711,Government and Community Relations,Senior Staff
KXG945888,Facilties and Economic Development,Manager
OXS797701,Office of Communications,Senior Staff
GXO550084,Office of Human Resources,Manager
TXF512058,Government and Community Relations,Senior Staff
SXL860023,Office of the President,Manager
JXR443739,Office of Human Resources,Manager
GXL505430,Office of Communications,Executive
RXT220318,"Institutional Compliance, Equity, and Title IX Initiatives",Cabinet
EXB706255,"Office of Diversity, Equity, and Inclusion",Cabinet
KXM649121,"Institutional Compliance, Equity, and Title IX Initiatives",Cabinet
CXG242303,Office of Research and Innovation,staff
TXM173071,Office of Development and Alumni Relations,staff
OXL668100,Government and Community Relations,staff
AXP240740,"Office of Diversity, Equity, and Inclusion",staff
MXK537282,Office of Information Technology,Senior Staff
CXS406603,Office of Human Resources,Senior Staff
OXT687768,Office of Human Resources,Manager
EXR632943,"Institutional Compliance, Equity, and Title IX Initiatives",Cabinet
DXC337086,Facilties and Economic Development,Executive
BXR646050,Office of Communications,Executive
RXA968827,"Office of Diversity, Equity, and Inclusion",staff
KXC959959,Office of Research and Innovation,Executive
SXS401697,Office of Communications,Cabinet
IXB917645,Information Security,staff
HXH181012,"Office of Diversity, Equity, and Inclusion",Cabinet
MXS871327,Government and Community Relations,Manager
HXB590280,Government and Community Relations,Manager
WXD548048,Student Affairs,staff
CXO945104,Facilties and Economic Development,staff
AXS314734,Student Affairs,Executive
PXF750453,"Institutional Compliance, Equity, and Title IX Initiatives",staff
AXM217261,Facilties and Economic Development,Cabinet
MXD741687,"Institutional Compliance, Equity, and Title IX Initiatives",Senior Staff
QXL898052,Office of Research and Innovation,Cabinet
DXT468666,Office of Audit and Consulting,Cabinet
HXH757469,Office of Information Technology,Manager
SXB103431,Office of Budget and Finance,Executive
XXR574468,"Institutional Compliance, Equity, and Title IX Initiatives",Manager
BXP147202,Information Security,Senior Staff
DXH877440,Information Security,Senior Staff
MXM683098,Government and Community Relations,staff
JXB822774,Office of Budget and Finance,staff
KXC372012,Government and Community Relations,Senior Staff
FXT645882,Office of Audit and Consulting,Senior Staff
GXG726905,Office of the Provost,Executive
PXP606049,Office of Audit and Consulting,Senior Staff
EXO789962,Office of the President,Manager
AXD632043,Information Security,Senior Staff
DXB483122,Office of Audit and Consulting,Cabinet
EXM799939,Student Affairs,Advisor
JXL649318,Facilties and Economic Development,Advisor
JXG945362,Office of the Provost,Advisor
NXH650571,Office of the Provost,Advisor
RXO358650,"Office of Diversity, Equity, and Inclusion",Advisor
KXF448066,Government and Community Relations,Advisor
PXA357588,Office of the Provost,Advisor
EXJ889115,"Institutional Compliance, Equity, and Title IX Initiatives",Advisor
CXG742327,Office of Human Resources,Advisor
FXC233559,Office of Research and Innovation,Advisor
GXD966247,"Institutional Compliance, Equity, and Title IX Initiatives",Advisor
DXH726916,Office of Human Resources,Advisor
AXT318122,Office of Human Resources,Advisor
MXM660055,Office of Human Resources,Advisor
CXC759038,"Institutional Compliance, Equity, and Title IX Initiatives",Advisor
AXW414922,"Office of Diversity, Equity, and Inclusion",Advisor
KXR980530,Government and Community Relations,Advisor
OXL746482,Office of Budget and Finance,Advisor
GXB725458,Office of Legal Affairs,Advisor
GXH677525,Office of the President,Advisor
MXL887911,Office of the President,Advisor
GXS125028,Office of Development and Alumni Relations,Advisor
MXS848821,Office of the President,Advisor
RXL269262,Government and Community Relations,Advisor
SXE927320,Office of Research and Innovation,Advisor
SXP650598,Office of Budget and Finance,Advisor
JXT716113,Office of Audit and Consulting,Advisor
BXY636857,Office of Communications,Advisor
SXC412941,Office of Legal Affairs,Advisor
RXR193836,Office of Research and Innovation,Advisor
GXG117376,Office of Legal Affairs,Advisor
GXP716354,Information Security,Advisor
PXF157537,Office of Research and Innovation,Advisor
RXD657893,Information Security,Advisor
BXK433813,Office of Communications,Advisor
BXB567937,Office of Communications,Advisor
LXJ162003,Facilties and Economic Development,Advisor
WXT640187,Office of Research and Innovation,Advisor
KXJ129533,Office of Communications,Advisor
DXP101368,Office of Human Resources,Advisor
SXG917807,Office of Information Technology,Advisor
AXM500518,Office of the Provost,Advisor
KXC638653,Office of the Provost,Advisor
EXD732421,Government and Community Relations,Advisor
FXB600370,Office of Development and Alumni Relations,Advisor
AXW877866,Office of Development and Alumni Relations,Advisor
UXH919615,Office of Budget and Finance,Advisor
CXC108254,"Office of Diversity, Equity, and Inclusion",Advisor
NXT841036,Facilties and Economic Development,Advisor
FXD126627,Office of Institutional Success and Decision Support,Advisor
IXP708768,Office of Information Technology,Advisor
JXP838555,Office of Legal Affairs,Advisor
MXS384331,Office of Human Resources,Advisor
AXC137418,Office of Information Technology,Advisor
FXC930680,Office of Budget and Finance,Advisor
DXB781014,Facilties and Economic Development,Advisor
SXF228330,Office of Human Resources,Advisor
EXL294845,Office of Information Technology,Advisor
NXG334037,Office of Research and Innovation,Advisor
JXK994238,Office of Research and Innovation,Advisor
BXK249224,Office of the Provost,Advisor
RXH481893,Office of the President,Advisor
RXM626633,Office of Budget and Finance,Advisor
SXH445122,Office of Communications,Advisor
CXV772446,Office of the Provost,Advisor
FXW602612,Office of the President,Advisor
MXJ431490,Office of Development and Alumni Relations,Advisor
EXF262616,Government and Community Relations,Advisor
TXC587689,Office of Human Resources,Advisor
CXL355869,"Office of Diversity, Equity, and Inclusion",Advisor
EXV540841,Office of Legal Affairs,Advisor
AXG399582,Office of Human Resources,Advisor
CXM986230,Student Affairs,Advisor
MXW712417,Office of Information Technology,Executive
GXP500431,Office of Communications,Executive
MXG493468,Office of Human Resources,staff
AXB662227,"Institutional Compliance, Equity, and Title IX Initiatives",Cabinet
KXC133027,Office of Communications,staff
AXB351175,"Office of Diversity, Equity, and Inclusion",Senior Staff
IXC800521,Office of Human Resources,staff
LXT617942,Office of Budget and Finance,staff
SXP969191,Office of Research and Innovation,Cabinet
JXP618309,Facilties and Economic Development,Senior Staff
JXW882103,Office of the President,Cabinet
HXL924212,Office of Human Resources,Senior Staff
TXG783877,Office of Human Resources,Executive
CXS578707,Government and Community Relations,Cabinet
WXT798968,Office of Research and Innovation,Cabinet
CXR731427,Office of Development and Alumni Relations,staff
MXM883744,Office of Institutional Success and Decision Support,Senior Staff
JXD157280,Office of Information Technology,Executive
MXJ717723,Student Affairs,Executive
BXD763762,"Office of Diversity, Equity, and Inclusion",Manager
HXO870384,"Office of Diversity, Equity, and Inclusion",staff
DXF910420,Information Security,staff
HXS424134,Office of Institutional Success and Decision Support,Manager
FXM525774,"Office of Diversity, Equity, and Inclusion",Executive
DXS272688,"Institutional Compliance, Equity, and Title IX Initiatives",Senior Staff
JXS950159,"Office of Diversity, Equity, and Inclusion",Manager
BXS710291,Office of Research and Innovation,staff
PXW467736,Office of Communications,Manager
JXF510480,Office of the Provost,Cabinet
BXM330346,Office of Audit and Consulting,Senior Staff
BXS934570,"Office of Diversity, Equity, and Inclusion",staff
CXL761984,"Office of Diversity, Equity, and Inclusion",Cabinet
TXT619620,Office of Human Resources,staff
GXE109437,Office of Development and Alumni Relations,staff
EXF600509,"Office of Diversity, Equity, and Inclusion",Senior Staff
EXO715837,Office of Legal Affairs,Manager
LXH582666,Office of Human Resources,Senior Staff
PXH173199,Office of Audit and Consulting,Manager
OXB875224,Information Security,Cabinet
WXS533075,Facilties and Economic Development,staff
PXH584830,Information Security,Cabinet
SXJ108627,Office of Institutional Success and Decision Support,Senior Staff
WXC709050,Office of Budget and Finance,staff
LXB625286,Government and Community Relations,Manager
GXD173157,Office of Legal Affairs,Cabinet
LXM555207,"Office of Diversity, Equity, and Inclusion",Manager
TXT196435,Office of the Provost,Manager
GXG532698,Office of the President,Cabinet
KXO514788,Office of Audit and Consulting,Manager
HXD868892,Office of the Provost,Manager
AXF493108,Facilties and Economic Development,Senior Staff
GXL154601,Office of Budget and Finance,Manager
KXO592595,Student Affairs,Senior Staff
LXD431527,Office of Research and Innovation,Executive
TXD120343,"Institutional Compliance, Equity, and Title IX Initiatives",Cabinet
BXM719816,Office of Information Technology,Cabinet
WXC278922,Office of Audit and Consulting,Manager
CXR194834,Office of Research and Innovation,staff
FXP846056,Office of Communications,staff
AXC332819,Office of Human Resources,Cabinet
AXN219398,Office of Human Resources,staff
RXT571128,Office of Communications,staff
HXJ223212,Facilties and Economic Development,Cabinet
LXG203675,Office of Human Resources,Executive
SXH304037,Information Security,Manager
WXR685177,Office of the Provost,Cabinet
AXR613193,Office of Budget and Finance,Executive
GXV207472,Facilties and Economic Development,Cabinet
RXS252168,Office of Communications,Manager
LXF268530,"Office of Diversity, Equity, and Inclusion",Executive
DXW331974,Office of Information Technology,Executive
WXN832733,"Institutional Compliance, Equity, and Title IX Initiatives",Senior Staff
MXB939078,Office of Development and Alumni Relations,Manager
CXB981336,Office of Institutional Success and Decision Support,Executive
IXT618554,Office of Development and Alumni Relations,Senior Staff
MXP768538,Office of Communications,staff
EXO726011,Information Security,Manager
AXW932237,Student Affairs,Senior Staff
EXG391799,Office of Research and Innovation,Senior Staff
