NetID,Classification,StudentSchoolName
TXC533774,Junior,School of Behavioral and Brain Sciences
KXM473465,Sophomore,School of Behavioral and Brain Sciences
PXV375908,Junior,School of Behavioral and Brain Sciences
RXI315044,Junior,School of Behavioral and Brain Sciences
KXD490651,Senior,School of Behavioral and Brain Sciences
JXD573019,Freshmen,School of Behavioral and Brain Sciences
OXD540750,Senior,School of Behavioral and Brain Sciences
DXM392864,Junior,School of Behavioral and Brain Sciences
CXV744128,Junior,School of Behavioral and Brain Sciences
TXS786873,Junior,School of Behavioral and Brain Sciences
RXD568793,Freshmen,School of Behavioral and Brain Sciences
VXC776718,Freshmen,School of Behavioral and Brain Sciences
RXM371745,Junior,School of Behavioral and Brain Sciences
SXE342366,Freshmen,School of Behavioral and Brain Sciences
CXS779721,Freshmen,School of Behavioral and Brain Sciences
GXF636093,Freshmen,School of Behavioral and Brain Sciences
KXR433931,Junior,School of Behavioral and Brain Sciences
IXB363722,Freshmen,School of Behavioral and Brain Sciences
JXS315827,Sophomore,School of Behavioral and Brain Sciences
NXB307001,Junior,School of Behavioral and Brain Sciences
CXS862325,Junior,School of Behavioral and Brain Sciences
MXA807415,Freshmen,School of Behavioral and Brain Sciences
JXG608300,Senior,School of Behavioral and Brain Sciences
CXD851490,Freshmen,School of Behavioral and Brain Sciences
SXB299961,Freshmen,School of Behavioral and Brain Sciences
DXC528286,Senior,School of Behavioral and Brain Sciences
CXB168165,Junior,School of Behavioral and Brain Sciences
SXD997511,Senior,School of Behavioral and Brain Sciences
MXS860185,Sophomore,School of Behavioral and Brain Sciences
HXG215991,Senior,School of Behavioral and Brain Sciences
MXD688026,Junior,School of Behavioral and Brain Sciences
EXW843152,Junior,School of Behavioral and Brain Sciences
MXT887651,Senior,School of Behavioral and Brain Sciences
BXA995928,Junior,School of Behavioral and Brain Sciences
BXW600167,Sophomore,School of Behavioral and Brain Sciences
MXI588718,Senior,School of Behavioral and Brain Sciences
VXA563089,Senior,School of Behavioral and Brain Sciences
SXQ789806,Freshmen,School of Behavioral and Brain Sciences
DXJ810886,Sophomore,School of Behavioral and Brain Sciences
KXL638633,Freshmen,School of Behavioral and Brain Sciences
JXC941126,Freshmen,School of Behavioral and Brain Sciences
MXW740652,Sophomore,School of Behavioral and Brain Sciences
MXC388390,Freshmen,School of Behavioral and Brain Sciences
SXT869584,Freshmen,School of Behavioral and Brain Sciences
CXB678975,Senior,School of Behavioral and Brain Sciences
MXK494333,Junior,School of Behavioral and Brain Sciences
CXT492751,Senior,School of Behavioral and Brain Sciences
GXK857555,Junior,School of Behavioral and Brain Sciences
JXT185910,Sophomore,School of Behavioral and Brain Sciences
EXD602701,Sophomore,School of Behavioral and Brain Sciences
TXL941112,Senior,School of Behavioral and Brain Sciences
CXF142184,Sophomore,School of Behavioral and Brain Sciences
CXR337182,Freshmen,School of Behavioral and Brain Sciences
HXT186219,Senior,School of Behavioral and Brain Sciences
NXC936714,Senior,School of Behavioral and Brain Sciences
GXT260443,Junior,School of Behavioral and Brain Sciences
VXK770306,Junior,School of Behavioral and Brain Sciences
TXB296738,Freshmen,School of Behavioral and Brain Sciences
DXF429859,Senior,School of Behavioral and Brain Sciences
RXB130348,Sophomore,School of Behavioral and Brain Sciences
CXB810895,Senior,School of Behavioral and Brain Sciences
SXS632526,Senior,School of Behavioral and Brain Sciences
CXB458092,Junior,School of Behavioral and Brain Sciences
SXC872276,Junior,School of Behavioral and Brain Sciences
SXM571497,Junior,School of Behavioral and Brain Sciences
IXB579161,Freshmen,School of Behavioral and Brain Sciences
TXF193037,Freshmen,School of Behavioral and Brain Sciences
JXB985857,Senior,School of Behavioral and Brain Sciences
TXB464040,Junior,School of Behavioral and Brain Sciences
MXP347786,Freshmen,School of Behavioral and Brain Sciences
BXC673335,Junior,School of Behavioral and Brain Sciences
CXP366854,Freshmen,School of Behavioral and Brain Sciences
JXE752089,Senior,School of Behavioral and Brain Sciences
HXS118963,Freshmen,School of Behavioral and Brain Sciences
IXA959849,Freshmen,School of Behavioral and Brain Sciences
KXT142087,Senior,School of Behavioral and Brain Sciences
MXA873246,Junior,School of Behavioral and Brain Sciences
MXK907100,Senior,School of Behavioral and Brain Sciences
DXD688642,Freshmen,School of Behavioral and Brain Sciences
BXN496527,Senior,School of Behavioral and Brain Sciences
ZXM894147,Junior,School of Behavioral and Brain Sciences
AXR686602,Sophomore,School of Behavioral and Brain Sciences
PXP639325,Junior,School of Behavioral and Brain Sciences
DXS205572,Sophomore,School of Behavioral and Brain Sciences
LXM913140,Junior,School of Behavioral and Brain Sciences
AXC723749,Sophomore,School of Behavioral and Brain Sciences
CXR961739,Freshmen,School of Behavioral and Brain Sciences
GXG718789,Sophomore,School of Behavioral and Brain Sciences
IXH370159,Freshmen,School of Behavioral and Brain Sciences
TXD350574,Junior,School of Behavioral and Brain Sciences
RXD728046,Senior,School of Behavioral and Brain Sciences
TXP586750,Freshmen,School of Behavioral and Brain Sciences
NXA911053,Senior,School of Behavioral and Brain Sciences
NXG920372,Junior,School of Behavioral and Brain Sciences
OXG829663,Senior,School of Behavioral and Brain Sciences
JXD727924,Senior,School of Behavioral and Brain Sciences
WXR900099,Junior,School of Behavioral and Brain Sciences
HXF922283,Senior,School of Behavioral and Brain Sciences
PXI529752,Sophomore,School of Behavioral and Brain Sciences
HXW287151,Sophomore,School of Behavioral and Brain Sciences
SXN358835,Sophomore,School of Behavioral and Brain Sciences
MXK971592,Junior,School of Behavioral and Brain Sciences
AXM308310,Freshmen,School of Behavioral and Brain Sciences
TXD596581,Senior,School of Behavioral and Brain Sciences
LXR942269,Sophomore,School of Behavioral and Brain Sciences
RXM758661,Junior,School of Behavioral and Brain Sciences
GXD720725,Freshmen,School of Behavioral and Brain Sciences
SXS270070,Sophomore,School of Behavioral and Brain Sciences
RXP535507,Junior,School of Behavioral and Brain Sciences
AXC542596,Sophomore,School of Behavioral and Brain Sciences
NXO902869,Junior,School of Behavioral and Brain Sciences
SXD544839,Junior,School of Behavioral and Brain Sciences
GXA723194,Junior,School of Behavioral and Brain Sciences
DXM798918,Sophomore,School of Behavioral and Brain Sciences
NXY544269,Freshmen,School of Behavioral and Brain Sciences
AXB148492,Sophomore,School of Behavioral and Brain Sciences
CXR865221,Senior,School of Behavioral and Brain Sciences
BXD124869,Senior,School of Behavioral and Brain Sciences
VXI889256,Senior,School of Behavioral and Brain Sciences
JXW256158,Sophomore,School of Behavioral and Brain Sciences
NXE302860,Freshmen,School of Behavioral and Brain Sciences
BXD270375,Sophomore,School of Behavioral and Brain Sciences
LXD303347,Freshmen,School of Behavioral and Brain Sciences
AXR320530,Junior,School of Behavioral and Brain Sciences
DXV220138,Freshmen,School of Behavioral and Brain Sciences
EXD646469,Sophomore,School of Behavioral and Brain Sciences
IXW686570,Sophomore,School of Behavioral and Brain Sciences
KXO569712,Senior,School of Behavioral and Brain Sciences
GXK175823,Senior,School of Behavioral and Brain Sciences
TXM848250,Sophomore,School of Behavioral and Brain Sciences
RXQ595475,Junior,School of Behavioral and Brain Sciences
DXW834140,Junior,School of Behavioral and Brain Sciences
SXW964184,Freshmen,School of Behavioral and Brain Sciences
WXD399791,Freshmen,School of Behavioral and Brain Sciences
LXW762896,Junior,School of Behavioral and Brain Sciences
BXG449148,Senior,School of Behavioral and Brain Sciences
VXM251324,Sophomore,School of Behavioral and Brain Sciences
MXM632867,Senior,School of Behavioral and Brain Sciences
BXF501577,Junior,School of Behavioral and Brain Sciences
LXY893044,Senior,School of Behavioral and Brain Sciences
AXI934403,Junior,School of Behavioral and Brain Sciences
MXS733408,Freshmen,School of Behavioral and Brain Sciences
RXS527574,Freshmen,School of Behavioral and Brain Sciences
TXF423322,Senior,School of Behavioral and Brain Sciences
MXK912492,Sophomore,School of Behavioral and Brain Sciences
JXW602120,Freshmen,School of Behavioral and Brain Sciences
KXC184476,Senior,School of Behavioral and Brain Sciences
AXF443583,Freshmen,School of Behavioral and Brain Sciences
BXC259645,Junior,School of Behavioral and Brain Sciences
AXB971554,Senior,School of Behavioral and Brain Sciences
GXS686660,Junior,School of Behavioral and Brain Sciences
LXP528390,Junior,School of Behavioral and Brain Sciences
CXB783505,Senior,School of Behavioral and Brain Sciences
LXM891327,Sophomore,School of Behavioral and Brain Sciences
DXJ993067,Sophomore,School of Behavioral and Brain Sciences
CXC732912,Sophomore,School of Behavioral and Brain Sciences
HXS962694,Freshmen,School of Behavioral and Brain Sciences
DXE728632,Senior,School of Behavioral and Brain Sciences
AXD261408,Freshmen,School of Behavioral and Brain Sciences
RXR293545,Freshmen,School of Behavioral and Brain Sciences
